game_id,summoner_name,damage,kda,wards,farm,item_1,item_2,item_3,item_4,item_5,item_6
BR1_3036029208,Torricelli,17399,6/10/20,0,13,3084,6665,3111,2051,1028,0
BR1_3036014977,Torricelli,18577,4/8/38,0,17,3112,2420,2031,6653,2503,3020
BR1_3035919045,Torricelli,41375,6/11/34,0,22,3211,3083,3084,3111,3075,2502
BR1_3035870176,Torricelli,54192,25/13/12,13,261,3031,6676,3047,6672,3036,3094
BR1_3034907161,Torricelli,36693,4/16/63,0,61,3040,3089,2503,6653,3158,3116
BR1_3036029208,Torricelli,17399,6/10/20,0,13,3084,6665,3111,2051,1028,0
BR1_3036014977,Torricelli,18577,4/8/38,0,17,3112,2420,2031,6653,2503,3020
BR1_3035919045,Torricelli,41375,6/11/34,0,22,3211,3083,3084,3111,3075,2502
BR1_3035870176,Torricelli,54192,25/13/12,13,261,3031,6676,3047,6672,3036,3094
BR1_3034907161,Torricelli,36693,4/16/63,0,61,3040,3089,2503,6653,3158,3116
